Inf;Sup;null
2005-05-22, 14:00:00,000;2005-05-22, 14:59:59,999;343.0
2005-05-22, 15:00:00,000;2005-05-22, 15:59:59,999;490.0
2005-05-22, 16:00:00,000;2005-05-22, 16:59:59,999;582.0
2005-05-22, 17:00:00,000;2005-05-22, 17:59:59,999;271.0
2005-05-22, 18:00:00,000;2005-05-22, 18:59:59,999;271.0
2005-05-22, 19:00:00,000;2005-05-22, 19:59:59,999;278.0
2005-05-22, 20:00:00,000;2005-05-22, 20:59:59,999;238.0
2005-05-22, 21:00:00,000;2005-05-22, 21:59:59,999;208.0
2005-05-22, 22:00:00,000;2005-05-22, 22:59:59,999;150.0
2005-05-22, 23:00:00,000;2005-05-22, 23:59:59,999;100.0
2005-05-23, 00:00:00,000;2005-05-23, 00:59:59,999;51.0
2005-05-23, 01:00:00,000;2005-05-23, 01:59:59,999;36.0
2005-05-23, 02:00:00,000;2005-05-23, 02:59:59,999;25.0
2005-05-23, 03:00:00,000;2005-05-23, 03:59:59,999;22.0
2005-05-23, 04:00:00,000;2005-05-23, 04:59:59,999;32.0
2005-05-23, 05:00:00,000;2005-05-23, 05:59:59,999;114.0
2005-05-23, 06:00:00,000;2005-05-23, 06:59:59,999;272.0
2005-05-23, 07:00:00,000;2005-05-23, 07:59:59,999;395.0
2005-05-23, 08:00:00,000;2005-05-23, 08:59:59,999;380.0
2005-05-23, 09:00:00,000;2005-05-23, 09:59:59,999;375.0
2005-05-23, 10:00:00,000;2005-05-23, 10:59:59,999;296.0
2005-05-23, 11:00:00,000;2005-05-23, 11:59:59,999;288.0
2005-05-23, 12:00:00,000;2005-05-23, 12:59:59,999;NaN
2005-05-23, 13:00:00,000;2005-05-23, 13:59:59,999;NaN
2005-05-23, 14:00:00,000;2005-05-23, 14:59:59,999;NaN
2005-05-23, 15:00:00,000;2005-05-23, 15:59:59,999;NaN
2005-05-23, 16:00:00,000;2005-05-23, 16:59:59,999;NaN
2005-05-23, 17:00:00,000;2005-05-23, 17:59:59,999;NaN
2005-05-23, 18:00:00,000;2005-05-23, 18:59:59,999;NaN
2005-05-23, 19:00:00,000;2005-05-23, 19:59:59,999;NaN
2005-05-23, 20:00:00,000;2005-05-23, 20:59:59,999;NaN
2005-05-23, 21:00:00,000;2005-05-23, 21:59:59,999;NaN
2005-05-23, 22:00:00,000;2005-05-23, 22:59:59,999;NaN
2005-05-23, 23:00:00,000;2005-05-23, 23:59:59,999;NaN
2005-05-24, 00:00:00,000;2005-05-24, 00:59:59,999;NaN
2005-05-24, 01:00:00,000;2005-05-24, 01:59:59,999;NaN
2005-05-24, 02:00:00,000;2005-05-24, 02:59:59,999;NaN
2005-05-24, 03:00:00,000;2005-05-24, 03:59:59,999;NaN
2005-05-24, 04:00:00,000;2005-05-24, 04:59:59,999;NaN
2005-05-24, 05:00:00,000;2005-05-24, 05:59:59,999;NaN
2005-05-24, 06:00:00,000;2005-05-24, 06:59:59,999;NaN
2005-05-24, 07:00:00,000;2005-05-24, 07:59:59,999;NaN
2005-05-24, 08:00:00,000;2005-05-24, 08:59:59,999;433.0
2005-05-24, 09:00:00,000;2005-05-24, 09:59:59,999;390.0
2005-05-24, 10:00:00,000;2005-05-24, 10:59:59,999;347.0
2005-05-24, 11:00:00,000;2005-05-24, 11:59:59,999;309.0
2005-05-24, 12:00:00,000;2005-05-24, 12:59:59,999;324.0
2005-05-24, 13:00:00,000;2005-05-24, 13:59:59,999;344.0
2005-05-24, 14:00:00,000;2005-05-24, 14:59:59,999;362.0
2005-05-24, 15:00:00,000;2005-05-24, 15:59:59,999;406.0
2005-05-24, 16:00:00,000;2005-05-24, 16:59:59,999;356.0
2005-05-24, 17:00:00,000;2005-05-24, 17:59:59,999;381.0
2005-05-24, 18:00:00,000;2005-05-24, 18:59:59,999;NaN
2005-05-24, 19:00:00,000;2005-05-24, 19:59:59,999;NaN
2005-05-24, 20:00:00,000;2005-05-24, 20:59:59,999;NaN
2005-05-24, 21:00:00,000;2005-05-24, 21:59:59,999;NaN
2005-05-24, 22:00:00,000;2005-05-24, 22:59:59,999;NaN
2005-05-24, 23:00:00,000;2005-05-24, 23:59:59,999;NaN
2005-05-25, 00:00:00,000;2005-05-25, 00:59:59,999;NaN
2005-05-25, 01:00:00,000;2005-05-25, 01:59:59,999;NaN
2005-05-25, 02:00:00,000;2005-05-25, 02:59:59,999;NaN
2005-05-25, 03:00:00,000;2005-05-25, 03:59:59,999;NaN
2005-05-25, 04:00:00,000;2005-05-25, 04:59:59,999;NaN
2005-05-25, 05:00:00,000;2005-05-25, 05:59:59,999;NaN
2005-05-25, 06:00:00,000;2005-05-25, 06:59:59,999;NaN
2005-05-25, 07:00:00,000;2005-05-25, 07:59:59,999;NaN
2005-05-25, 08:00:00,000;2005-05-25, 08:59:59,999;451.0
2005-05-25, 09:00:00,000;2005-05-25, 09:59:59,999;379.0
2005-05-25, 10:00:00,000;2005-05-25, 10:59:59,999;361.0
2005-05-25, 11:00:00,000;2005-05-25, 11:59:59,999;335.0
2005-05-25, 12:00:00,000;2005-05-25, 12:59:59,999;301.0
2005-05-25, 13:00:00,000;2005-05-25, 13:59:59,999;273.0
2005-05-25, 14:00:00,000;2005-05-25, 14:59:59,999;349.0
2005-05-25, 15:00:00,000;2005-05-25, 15:59:59,999;418.0
2005-05-25, 16:00:00,000;2005-05-25, 16:59:59,999;438.0
2005-05-25, 17:00:00,000;2005-05-25, 17:59:59,999;407.0
2005-05-25, 18:00:00,000;2005-05-25, 18:59:59,999;409.0
2005-05-25, 19:00:00,000;2005-05-25, 19:59:59,999;366.0
2005-05-25, 20:00:00,000;2005-05-25, 20:59:59,999;232.0
2005-05-25, 21:00:00,000;2005-05-25, 21:59:59,999;238.0
2005-05-25, 22:00:00,000;2005-05-25, 22:59:59,999;134.0
2005-05-25, 23:00:00,000;2005-05-25, 23:59:59,999;127.0
2005-05-26, 00:00:00,000;2005-05-26, 00:59:59,999;73.0
2005-05-26, 01:00:00,000;2005-05-26, 01:59:59,999;48.0
2005-05-26, 02:00:00,000;2005-05-26, 02:59:59,999;32.0
2005-05-26, 03:00:00,000;2005-05-26, 03:59:59,999;24.0
2005-05-26, 04:00:00,000;2005-05-26, 04:59:59,999;29.0
2005-05-26, 05:00:00,000;2005-05-26, 05:59:59,999;99.0
2005-05-26, 06:00:00,000;2005-05-26, 06:59:59,999;247.0
2005-05-26, 07:00:00,000;2005-05-26, 07:59:59,999;399.0
2005-05-26, 08:00:00,000;2005-05-26, 08:59:59,999;365.0
2005-05-26, 09:00:00,000;2005-05-26, 09:59:59,999;432.0
2005-05-26, 10:00:00,000;2005-05-26, 10:59:59,999;370.0
2005-05-26, 11:00:00,000;2005-05-26, 11:59:59,999;267.0
2005-05-26, 12:00:00,000;2005-05-26, 12:59:59,999;294.0
2005-05-26, 13:00:00,000;2005-05-26, 13:59:59,999;301.0
2005-05-26, 14:00:00,000;2005-05-26, 14:59:59,999;353.0
2005-05-26, 15:00:00,000;2005-05-26, 15:59:59,999;410.0
2005-05-26, 16:00:00,000;2005-05-26, 16:59:59,999;393.0
2005-05-26, 17:00:00,000;2005-05-26, 17:59:59,999;298.0
2005-05-26, 18:00:00,000;2005-05-26, 18:59:59,999;415.0
2005-05-26, 19:00:00,000;2005-05-26, 19:59:59,999;295.0
2005-05-26, 20:00:00,000;2005-05-26, 20:59:59,999;243.0
2005-05-26, 21:00:00,000;2005-05-26, 21:59:59,999;237.0
2005-05-26, 22:00:00,000;2005-05-26, 22:59:59,999;153.0
2005-05-26, 23:00:00,000;2005-05-26, 23:59:59,999;90.0
2005-05-27, 00:00:00,000;2005-05-27, 00:59:59,999;78.0
2005-05-27, 01:00:00,000;2005-05-27, 01:59:59,999;57.0
2005-05-27, 02:00:00,000;2005-05-27, 02:59:59,999;55.0
2005-05-27, 03:00:00,000;2005-05-27, 03:59:59,999;22.0
2005-05-27, 04:00:00,000;2005-05-27, 04:59:59,999;44.0
2005-05-27, 05:00:00,000;2005-05-27, 05:59:59,999;99.0
2005-05-27, 06:00:00,000;2005-05-27, 06:59:59,999;205.0
2005-05-27, 07:00:00,000;2005-05-27, 07:59:59,999;379.0
2005-05-27, 08:00:00,000;2005-05-27, 08:59:59,999;327.0
2005-05-27, 09:00:00,000;2005-05-27, 09:59:59,999;474.0
2005-05-27, 10:00:00,000;2005-05-27, 10:59:59,999;338.0
2005-05-27, 11:00:00,000;2005-05-27, 11:59:59,999;300.0
2005-05-27, 12:00:00,000;2005-05-27, 12:59:59,999;345.0
2005-05-27, 13:00:00,000;2005-05-27, 13:59:59,999;331.0
2005-05-27, 14:00:00,000;2005-05-27, 14:59:59,999;373.0
2005-05-27, 15:00:00,000;2005-05-27, 15:59:59,999;527.0
2005-05-27, 16:00:00,000;2005-05-27, 16:59:59,999;337.0
2005-05-27, 17:00:00,000;2005-05-27, 17:59:59,999;353.0
2005-05-27, 18:00:00,000;2005-05-27, 18:59:59,999;374.0
2005-05-27, 19:00:00,000;2005-05-27, 19:59:59,999;296.0
2005-05-27, 20:00:00,000;2005-05-27, 20:59:59,999;280.0
2005-05-27, 21:00:00,000;2005-05-27, 21:59:59,999;216.0
2005-05-27, 22:00:00,000;2005-05-27, 22:59:59,999;251.0
2005-05-27, 23:00:00,000;2005-05-27, 23:59:59,999;169.0
2005-05-28, 00:00:00,000;2005-05-28, 00:59:59,999;77.0
2005-05-28, 01:00:00,000;2005-05-28, 01:59:59,999;58.0
2005-05-28, 02:00:00,000;2005-05-28, 02:59:59,999;74.0
2005-05-28, 03:00:00,000;2005-05-28, 03:59:59,999;34.0
2005-05-28, 04:00:00,000;2005-05-28, 04:59:59,999;37.0
2005-05-28, 05:00:00,000;2005-05-28, 05:59:59,999;68.0
2005-05-28, 06:00:00,000;2005-05-28, 06:59:59,999;125.0
2005-05-28, 07:00:00,000;2005-05-28, 07:59:59,999;113.0
2005-05-28, 08:00:00,000;2005-05-28, 08:59:59,999;201.0
2005-05-28, 09:00:00,000;2005-05-28, 09:59:59,999;210.0
2005-05-28, 10:00:00,000;2005-05-28, 10:59:59,999;253.0
2005-05-28, 11:00:00,000;2005-05-28, 11:59:59,999;236.0
2005-05-28, 12:00:00,000;2005-05-28, 12:59:59,999;272.0
2005-05-28, 13:00:00,000;2005-05-28, 13:59:59,999;289.0
2005-05-28, 14:00:00,000;2005-05-28, 14:59:59,999;297.0
2005-05-28, 15:00:00,000;2005-05-28, 15:59:59,999;281.0
2005-05-28, 16:00:00,000;2005-05-28, 16:59:59,999;286.0
2005-05-28, 17:00:00,000;2005-05-28, 17:59:59,999;311.0
2005-05-28, 18:00:00,000;2005-05-28, 18:59:59,999;456.0
2005-05-28, 19:00:00,000;2005-05-28, 19:59:59,999;258.0
2005-05-28, 20:00:00,000;2005-05-28, 20:59:59,999;240.0
2005-05-28, 21:00:00,000;2005-05-28, 21:59:59,999;260.0
2005-05-28, 22:00:00,000;2005-05-28, 22:59:59,999;303.0
2005-05-28, 23:00:00,000;2005-05-28, 23:59:59,999;199.0
2005-05-29, 00:00:00,000;2005-05-29, 00:59:59,999;81.0
2005-05-29, 01:00:00,000;2005-05-29, 01:59:59,999;65.0
2005-05-29, 02:00:00,000;2005-05-29, 02:59:59,999;76.0
2005-05-29, 03:00:00,000;2005-05-29, 03:59:59,999;44.0
2005-05-29, 04:00:00,000;2005-05-29, 04:59:59,999;32.0
2005-05-29, 05:00:00,000;2005-05-29, 05:59:59,999;38.0
2005-05-29, 06:00:00,000;2005-05-29, 06:59:59,999;70.0
2005-05-29, 07:00:00,000;2005-05-29, 07:59:59,999;75.0
2005-05-29, 08:00:00,000;2005-05-29, 08:59:59,999;138.0
2005-05-29, 09:00:00,000;2005-05-29, 09:59:59,999;159.0
2005-05-29, 10:00:00,000;2005-05-29, 10:59:59,999;228.0
2005-05-29, 11:00:00,000;2005-05-29, 11:59:59,999;241.0
2005-05-29, 12:00:00,000;2005-05-29, 12:59:59,999;261.0
2005-05-29, 13:00:00,000;2005-05-29, 13:59:59,999;286.0
2005-05-29, 14:00:00,000;2005-05-29, 14:59:59,999;277.0
2005-05-29, 15:00:00,000;2005-05-29, 15:59:59,999;276.0
2005-05-29, 16:00:00,000;2005-05-29, 16:59:59,999;272.0
2005-05-29, 17:00:00,000;2005-05-29, 17:59:59,999;221.0
2005-05-29, 18:00:00,000;2005-05-29, 18:59:59,999;215.0
2005-05-29, 19:00:00,000;2005-05-29, 19:59:59,999;221.0
2005-05-29, 20:00:00,000;2005-05-29, 20:59:59,999;226.0
2005-05-29, 21:00:00,000;2005-05-29, 21:59:59,999;204.0
2005-05-29, 22:00:00,000;2005-05-29, 22:59:59,999;213.0
2005-05-29, 23:00:00,000;2005-05-29, 23:59:59,999;162.0
2005-05-30, 00:00:00,000;2005-05-30, 00:59:59,999;73.0
2005-05-30, 01:00:00,000;2005-05-30, 01:59:59,999;66.0
2005-05-30, 02:00:00,000;2005-05-30, 02:59:59,999;49.0
2005-05-30, 03:00:00,000;2005-05-30, 03:59:59,999;34.0
2005-05-30, 04:00:00,000;2005-05-30, 04:59:59,999;33.0
2005-05-30, 05:00:00,000;2005-05-30, 05:59:59,999;39.0
2005-05-30, 06:00:00,000;2005-05-30, 06:59:59,999;77.0
2005-05-30, 07:00:00,000;2005-05-30, 07:59:59,999;103.0
2005-05-30, 08:00:00,000;2005-05-30, 08:59:59,999;126.0
2005-05-30, 09:00:00,000;2005-05-30, 09:59:59,999;151.0
2005-05-30, 10:00:00,000;2005-05-30, 10:59:59,999;189.0
2005-05-30, 11:00:00,000;2005-05-30, 11:59:59,999;210.0
2005-05-30, 12:00:00,000;2005-05-30, 12:59:59,999;225.0
2005-05-30, 13:00:00,000;2005-05-30, 13:59:59,999;235.0
2005-05-30, 14:00:00,000;2005-05-30, 14:59:59,999;253.0
2005-05-30, 15:00:00,000;2005-05-30, 15:59:59,999;209.0
2005-05-30, 16:00:00,000;2005-05-30, 16:59:59,999;205.0
2005-05-30, 17:00:00,000;2005-05-30, 17:59:59,999;214.0
2005-05-30, 18:00:00,000;2005-05-30, 18:59:59,999;173.0
2005-05-30, 19:00:00,000;2005-05-30, 19:59:59,999;370.0
2005-05-30, 20:00:00,000;2005-05-30, 20:59:59,999;528.0
2005-05-30, 21:00:00,000;2005-05-30, 21:59:59,999;186.0
2005-05-30, 22:00:00,000;2005-05-30, 22:59:59,999;146.0
2005-05-30, 23:00:00,000;2005-05-30, 23:59:59,999;79.0
2005-05-31, 00:00:00,000;2005-05-31, 00:59:59,999;37.0
2005-05-31, 01:00:00,000;2005-05-31, 01:59:59,999;23.0
2005-05-31, 02:00:00,000;2005-05-31, 02:59:59,999;27.0
2005-05-31, 03:00:00,000;2005-05-31, 03:59:59,999;17.0
2005-05-31, 04:00:00,000;2005-05-31, 04:59:59,999;41.0
2005-05-31, 05:00:00,000;2005-05-31, 05:59:59,999;93.0
2005-05-31, 06:00:00,000;2005-05-31, 06:59:59,999;260.0
2005-05-31, 07:00:00,000;2005-05-31, 07:59:59,999;426.0
2005-05-31, 08:00:00,000;2005-05-31, 08:59:59,999;366.0
2005-05-31, 09:00:00,000;2005-05-31, 09:59:59,999;423.0
2005-05-31, 10:00:00,000;2005-05-31, 10:59:59,999;331.0
2005-05-31, 11:00:00,000;2005-05-31, 11:59:59,999;335.0
2005-05-31, 12:00:00,000;2005-05-31, 12:59:59,999;394.0
2005-05-31, 13:00:00,000;2005-05-31, 13:59:59,999;355.0
2005-05-31, 14:00:00,000;2005-05-31, 14:59:59,999;412.0
2005-05-31, 15:00:00,000;2005-05-31, 15:59:59,999;407.0
2005-05-31, 16:00:00,000;2005-05-31, 16:59:59,999;358.0
2005-05-31, 17:00:00,000;2005-05-31, 17:59:59,999;391.0
2005-05-31, 18:00:00,000;2005-05-31, 18:59:59,999;356.0
2005-05-31, 19:00:00,000;2005-05-31, 19:59:59,999;269.0
2005-05-31, 20:00:00,000;2005-05-31, 20:59:59,999;212.0
2005-05-31, 21:00:00,000;2005-05-31, 21:59:59,999;232.0
2005-05-31, 22:00:00,000;2005-05-31, 22:59:59,999;370.0
2005-05-31, 23:00:00,000;2005-05-31, 23:59:59,999;132.0
2005-06-01, 00:00:00,000;2005-06-01, 00:59:59,999;57.0
2005-06-01, 01:00:00,000;2005-06-01, 01:59:59,999;38.0
2005-06-01, 02:00:00,000;2005-06-01, 02:59:59,999;28.0
2005-06-01, 03:00:00,000;2005-06-01, 03:59:59,999;18.0
2005-06-01, 04:00:00,000;2005-06-01, 04:59:59,999;43.0
2005-06-01, 05:00:00,000;2005-06-01, 05:59:59,999;121.0
2005-06-01, 06:00:00,000;2005-06-01, 06:59:59,999;262.0
2005-06-01, 07:00:00,000;2005-06-01, 07:59:59,999;415.0
2005-06-01, 08:00:00,000;2005-06-01, 08:59:59,999;383.0
2005-06-01, 09:00:00,000;2005-06-01, 09:59:59,999;351.0
2005-06-01, 10:00:00,000;2005-06-01, 10:59:59,999;339.0
2005-06-01, 11:00:00,000;2005-06-01, 11:59:59,999;269.0
2005-06-01, 12:00:00,000;2005-06-01, 12:59:59,999;309.0
2005-06-01, 13:00:00,000;2005-06-01, 13:59:59,999;284.0
2005-06-01, 14:00:00,000;2005-06-01, 14:59:59,999;351.0
2005-06-01, 15:00:00,000;2005-06-01, 15:59:59,999;433.0
2005-06-01, 16:00:00,000;2005-06-01, 16:59:59,999;412.0
2005-06-01, 17:00:00,000;2005-06-01, 17:59:59,999;436.0
2005-06-01, 18:00:00,000;2005-06-01, 18:59:59,999;350.0
2005-06-01, 19:00:00,000;2005-06-01, 19:59:59,999;328.0
2005-06-01, 20:00:00,000;2005-06-01, 20:59:59,999;243.0
2005-06-01, 21:00:00,000;2005-06-01, 21:59:59,999;283.0
2005-06-01, 22:00:00,000;2005-06-01, 22:59:59,999;502.0
2005-06-01, 23:00:00,000;2005-06-01, 23:59:59,999;265.0
2005-06-02, 00:00:00,000;2005-06-02, 00:59:59,999;55.0
2005-06-02, 01:00:00,000;2005-06-02, 01:59:59,999;45.0
2005-06-02, 02:00:00,000;2005-06-02, 02:59:59,999;25.0
2005-06-02, 03:00:00,000;2005-06-02, 03:59:59,999;11.0
2005-06-02, 04:00:00,000;2005-06-02, 04:59:59,999;34.0
2005-06-02, 05:00:00,000;2005-06-02, 05:59:59,999;109.0
2005-06-02, 06:00:00,000;2005-06-02, 06:59:59,999;229.0
2005-06-02, 07:00:00,000;2005-06-02, 07:59:59,999;437.0
2005-06-02, 08:00:00,000;2005-06-02, 08:59:59,999;406.0
2005-06-02, 09:00:00,000;2005-06-02, 09:59:59,999;444.0
2005-06-02, 10:00:00,000;2005-06-02, 10:59:59,999;306.0
2005-06-02, 11:00:00,000;2005-06-02, 11:59:59,999;300.0
2005-06-02, 12:00:00,000;2005-06-02, 12:59:59,999;317.0
2005-06-02, 13:00:00,000;2005-06-02, 13:59:59,999;315.0
2005-06-02, 14:00:00,000;2005-06-02, 14:59:59,999;342.0
2005-06-02, 15:00:00,000;2005-06-02, 15:59:59,999;432.0
2005-06-02, 16:00:00,000;2005-06-02, 16:59:59,999;352.0
2005-06-02, 17:00:00,000;2005-06-02, 17:59:59,999;360.0
2005-06-02, 18:00:00,000;2005-06-02, 18:59:59,999;354.0
2005-06-02, 19:00:00,000;2005-06-02, 19:59:59,999;351.0
2005-06-02, 20:00:00,000;2005-06-02, 20:59:59,999;205.0
2005-06-02, 21:00:00,000;2005-06-02, 21:59:59,999;261.0
2005-06-02, 22:00:00,000;2005-06-02, 22:59:59,999;279.0
2005-06-02, 23:00:00,000;2005-06-02, 23:59:59,999;137.0
2005-06-03, 00:00:00,000;2005-06-03, 00:59:59,999;74.0
2005-06-03, 01:00:00,000;2005-06-03, 01:59:59,999;36.0
2005-06-03, 02:00:00,000;2005-06-03, 02:59:59,999;37.0
2005-06-03, 03:00:00,000;2005-06-03, 03:59:59,999;20.0
2005-06-03, 04:00:00,000;2005-06-03, 04:59:59,999;42.0
2005-06-03, 05:00:00,000;2005-06-03, 05:59:59,999;111.0
2005-06-03, 06:00:00,000;2005-06-03, 06:59:59,999;258.0
2005-06-03, 07:00:00,000;2005-06-03, 07:59:59,999;367.0
2005-06-03, 08:00:00,000;2005-06-03, 08:59:59,999;412.0
2005-06-03, 09:00:00,000;2005-06-03, 09:59:59,999;364.0
2005-06-03, 10:00:00,000;2005-06-03, 10:59:59,999;311.0
2005-06-03, 11:00:00,000;2005-06-03, 11:59:59,999;347.0
2005-06-03, 12:00:00,000;2005-06-03, 12:59:59,999;301.0
2005-06-03, 13:00:00,000;2005-06-03, 13:59:59,999;322.0
2005-06-03, 14:00:00,000;2005-06-03, 14:59:59,999;385.0
2005-06-03, 15:00:00,000;2005-06-03, 15:59:59,999;371.0
2005-06-03, 16:00:00,000;2005-06-03, 16:59:59,999;369.0
2005-06-03, 17:00:00,000;2005-06-03, 17:59:59,999;388.0
2005-06-03, 18:00:00,000;2005-06-03, 18:59:59,999;406.0
2005-06-03, 19:00:00,000;2005-06-03, 19:59:59,999;398.0
2005-06-03, 20:00:00,000;2005-06-03, 20:59:59,999;261.0
2005-06-03, 21:00:00,000;2005-06-03, 21:59:59,999;302.0
2005-06-03, 22:00:00,000;2005-06-03, 22:59:59,999;384.0
2005-06-03, 23:00:00,000;2005-06-03, 23:59:59,999;319.0
2005-06-04, 00:00:00,000;2005-06-04, 00:59:59,999;116.0
2005-06-04, 01:00:00,000;2005-06-04, 01:59:59,999;94.0
2005-06-04, 02:00:00,000;2005-06-04, 02:59:59,999;67.0
2005-06-04, 03:00:00,000;2005-06-04, 03:59:59,999;30.0
2005-06-04, 04:00:00,000;2005-06-04, 04:59:59,999;33.0
2005-06-04, 05:00:00,000;2005-06-04, 05:59:59,999;47.0
2005-06-04, 06:00:00,000;2005-06-04, 06:59:59,999;104.0
2005-06-04, 07:00:00,000;2005-06-04, 07:59:59,999;152.0
2005-06-04, 08:00:00,000;2005-06-04, 08:59:59,999;192.0
2005-06-04, 09:00:00,000;2005-06-04, 09:59:59,999;221.0
2005-06-04, 10:00:00,000;2005-06-04, 10:59:59,999;303.0
2005-06-04, 11:00:00,000;2005-06-04, 11:59:59,999;264.0
2005-06-04, 12:00:00,000;2005-06-04, 12:59:59,999;303.0
2005-06-04, 13:00:00,000;2005-06-04, 13:59:59,999;359.0
2005-06-04, 14:00:00,000;2005-06-04, 14:59:59,999;374.0
2005-06-04, 15:00:00,000;2005-06-04, 15:59:59,999;339.0
2005-06-04, 16:00:00,000;2005-06-04, 16:59:59,999;364.0
2005-06-04, 17:00:00,000;2005-06-04, 17:59:59,999;334.0
2005-06-04, 18:00:00,000;2005-06-04, 18:59:59,999;356.0
2005-06-04, 19:00:00,000;2005-06-04, 19:59:59,999;283.0
2005-06-04, 20:00:00,000;2005-06-04, 20:59:59,999;249.0
2005-06-04, 21:00:00,000;2005-06-04, 21:59:59,999;364.0
2005-06-04, 22:00:00,000;2005-06-04, 22:59:59,999;549.0
2005-06-04, 23:00:00,000;2005-06-04, 23:59:59,999;248.0
2005-06-05, 00:00:00,000;2005-06-05, 00:59:59,999;108.0
2005-06-05, 01:00:00,000;2005-06-05, 01:59:59,999;89.0
2005-06-05, 02:00:00,000;2005-06-05, 02:59:59,999;61.0
2005-06-05, 03:00:00,000;2005-06-05, 03:59:59,999;45.0
2005-06-05, 04:00:00,000;2005-06-05, 04:59:59,999;24.0
2005-06-05, 05:00:00,000;2005-06-05, 05:59:59,999;41.0
2005-06-05, 06:00:00,000;2005-06-05, 06:59:59,999;56.0
2005-06-05, 07:00:00,000;2005-06-05, 07:59:59,999;91.0
2005-06-05, 08:00:00,000;2005-06-05, 08:59:59,999;116.0
2005-06-05, 09:00:00,000;2005-06-05, 09:59:59,999;184.0
2005-06-05, 10:00:00,000;2005-06-05, 10:59:59,999;241.0
2005-06-05, 11:00:00,000;2005-06-05, 11:59:59,999;309.0
2005-06-05, 12:00:00,000;2005-06-05, 12:59:59,999;311.0
2005-06-05, 13:00:00,000;2005-06-05, 13:59:59,999;326.0
2005-06-05, 14:00:00,000;2005-06-05, 14:59:59,999;296.0
2005-06-05, 15:00:00,000;2005-06-05, 15:59:59,999;273.0
2005-06-05, 16:00:00,000;2005-06-05, 16:59:59,999;490.0
2005-06-05, 17:00:00,000;2005-06-05, 17:59:59,999;327.0
2005-06-05, 18:00:00,000;2005-06-05, 18:59:59,999;246.0
2005-06-05, 19:00:00,000;2005-06-05, 19:59:59,999;234.0
2005-06-05, 20:00:00,000;2005-06-05, 20:59:59,999;211.0
2005-06-05, 21:00:00,000;2005-06-05, 21:59:59,999;210.0
2005-06-05, 22:00:00,000;2005-06-05, 22:59:59,999;123.0
2005-06-05, 23:00:00,000;2005-06-05, 23:59:59,999;80.0
2005-06-06, 00:00:00,000;2005-06-06, 00:59:59,999;64.0
2005-06-06, 01:00:00,000;2005-06-06, 01:59:59,999;38.0
2005-06-06, 02:00:00,000;2005-06-06, 02:59:59,999;33.0
2005-06-06, 03:00:00,000;2005-06-06, 03:59:59,999;21.0
2005-06-06, 04:00:00,000;2005-06-06, 04:59:59,999;52.0
2005-06-06, 05:00:00,000;2005-06-06, 05:59:59,999;109.0
2005-06-06, 06:00:00,000;2005-06-06, 06:59:59,999;232.0
2005-06-06, 07:00:00,000;2005-06-06, 07:59:59,999;462.0
2005-06-06, 08:00:00,000;2005-06-06, 08:59:59,999;460.0
2005-06-06, 09:00:00,000;2005-06-06, 09:59:59,999;396.0
2005-06-06, 10:00:00,000;2005-06-06, 10:59:59,999;386.0
2005-06-06, 11:00:00,000;2005-06-06, 11:59:59,999;290.0
2005-06-06, 12:00:00,000;2005-06-06, 12:59:59,999;297.0
2005-06-06, 13:00:00,000;2005-06-06, 13:59:59,999;294.0
2005-06-06, 14:00:00,000;2005-06-06, 14:59:59,999;395.0
2005-06-06, 15:00:00,000;2005-06-06, 15:59:59,999;475.0
2005-06-06, 16:00:00,000;2005-06-06, 16:59:59,999;437.0
2005-06-06, 17:00:00,000;2005-06-06, 17:59:59,999;461.0
2005-06-06, 18:00:00,000;2005-06-06, 18:59:59,999;407.0
2005-06-06, 19:00:00,000;2005-06-06, 19:59:59,999;298.0
2005-06-06, 20:00:00,000;2005-06-06, 20:59:59,999;258.0
2005-06-06, 21:00:00,000;2005-06-06, 21:59:59,999;410.0
2005-06-06, 22:00:00,000;2005-06-06, 22:59:59,999;227.0
2005-06-06, 23:00:00,000;2005-06-06, 23:59:59,999;76.0
2005-06-07, 00:00:00,000;2005-06-07, 00:59:59,999;58.0
2005-06-07, 01:00:00,000;2005-06-07, 01:59:59,999;53.0
2005-06-07, 02:00:00,000;2005-06-07, 02:59:59,999;28.0
2005-06-07, 03:00:00,000;2005-06-07, 03:59:59,999;20.0
2005-06-07, 04:00:00,000;2005-06-07, 04:59:59,999;29.0
2005-06-07, 05:00:00,000;2005-06-07, 05:59:59,999;120.0
2005-06-07, 06:00:00,000;2005-06-07, 06:59:59,999;286.0
2005-06-07, 07:00:00,000;2005-06-07, 07:59:59,999;404.0
2005-06-07, 08:00:00,000;2005-06-07, 08:59:59,999;389.0
2005-06-07, 09:00:00,000;2005-06-07, 09:59:59,999;358.0
2005-06-07, 10:00:00,000;2005-06-07, 10:59:59,999;279.0
2005-06-07, 11:00:00,000;2005-06-07, 11:59:59,999;279.0
2005-06-07, 12:00:00,000;2005-06-07, 12:59:59,999;256.0
2005-06-07, 13:00:00,000;2005-06-07, 13:59:59,999;370.0
2005-06-07, 14:00:00,000;2005-06-07, 14:59:59,999;360.0
2005-06-07, 15:00:00,000;2005-06-07, 15:59:59,999;387.0
2005-06-07, 16:00:00,000;2005-06-07, 16:59:59,999;399.0
2005-06-07, 17:00:00,000;2005-06-07, 17:59:59,999;353.0
